Type,Library,Test,Result
Parse Validation, ArduinoJson (C++), JsonChecker pass1, false
Parse Validation, ArduinoJson (C++), JsonChecker pass2, false
Parse Validation, ArduinoJson (C++), JsonChecker pass3, true
Parse Validation, ArduinoJson (C++), JsonChecker fail2, true
Parse Validation, ArduinoJson (C++), JsonChecker fail3, true
Parse Validation, ArduinoJson (C++), JsonChecker fail4, true
Parse Validation, ArduinoJson (C++), JsonChecker fail5, true
Parse Validation, ArduinoJson (C++), JsonChecker fail6, true
Parse Validation, ArduinoJson (C++), JsonChecker fail7, true
Parse Validation, ArduinoJson (C++), JsonChecker fail8, true
Parse Validation, ArduinoJson (C++), JsonChecker fail9, true
Parse Validation, ArduinoJson (C++), JsonChecker fail10, false
Parse Validation, ArduinoJson (C++), JsonChecker fail11, true
Parse Validation, ArduinoJson (C++), JsonChecker fail12, true
Parse Validation, ArduinoJson (C++), JsonChecker fail13, false
Parse Validation, ArduinoJson (C++), JsonChecker fail14, true
Parse Validation, ArduinoJson (C++), JsonChecker fail15, true
Parse Validation, ArduinoJson (C++), JsonChecker fail16, true
Parse Validation, ArduinoJson (C++), JsonChecker fail17, true
Parse Validation, ArduinoJson (C++), JsonChecker fail19, true
Parse Validation, ArduinoJson (C++), JsonChecker fail20, true
Parse Validation, ArduinoJson (C++), JsonChecker fail21, true
Parse Validation, ArduinoJson (C++), JsonChecker fail22, true
Parse Validation, ArduinoJson (C++), JsonChecker fail23, true
Parse Validation, ArduinoJson (C++), JsonChecker fail24, true
Parse Validation, ArduinoJson (C++), JsonChecker fail25, true
Parse Validation, ArduinoJson (C++), JsonChecker fail26, true
Parse Validation, ArduinoJson (C++), JsonChecker fail27, true
Parse Validation, ArduinoJson (C++), JsonChecker fail28, true
Parse Validation, ArduinoJson (C++), JsonChecker fail29, true
Parse Validation, ArduinoJson (C++), JsonChecker fail30, true
Parse Validation, ArduinoJson (C++), JsonChecker fail31, true
Parse Validation, ArduinoJson (C++), JsonChecker fail32, true
Parse Validation, ArduinoJson (C++), JsonChecker fail33, true
Parse Validation, CAJUN (C++), JsonChecker pass1, true
Parse Validation, CAJUN (C++), JsonChecker pass2, true
Parse Validation, CAJUN (C++), JsonChecker pass3, true
Parse Validation, CAJUN (C++), JsonChecker fail2, true
Parse Validation, CAJUN (C++), JsonChecker fail3, true
Parse Validation, CAJUN (C++), JsonChecker fail4, true
Parse Validation, CAJUN (C++), JsonChecker fail5, true
Parse Validation, CAJUN (C++), JsonChecker fail6, true
Parse Validation, CAJUN (C++), JsonChecker fail7, true
Parse Validation, CAJUN (C++), JsonChecker fail8, true
Parse Validation, CAJUN (C++), JsonChecker fail9, true
Parse Validation, CAJUN (C++), JsonChecker fail10, true
Parse Validation, CAJUN (C++), JsonChecker fail11, true
Parse Validation, CAJUN (C++), JsonChecker fail12, true
