Type,Library,Test,Result
1. Parse Validation,ArduinoJson (C++),pass01,false
1. Parse Validation,ArduinoJson (C++),pass02,false
1. Parse Validation,ArduinoJson (C++),pass03,true
1. Parse Validation,ArduinoJson (C++),fail02,true
1. Parse Validation,ArduinoJson (C++),fail03,true
1. Parse Validation,ArduinoJson (C++),fail04,false
1. Parse Validation,ArduinoJson (C++),fail05,false
1. Parse Validation,ArduinoJson (C++),fail06,false
1. Parse Validation,ArduinoJson (C++),fail07,false
1. Parse Validation,ArduinoJson (C++),fail08,false
1. Parse Validation,ArduinoJson (C++),fail09,true
1. Parse Validation,ArduinoJson (C++),fail10,false
1. Parse Validation,ArduinoJson (C++),fail11,true
1. Parse Validation,ArduinoJson (C++),fail12,true
1. Parse Validation,ArduinoJson (C++),fail13,false
1. Parse Validation,ArduinoJson (C++),fail14,false
1. Parse Validation,ArduinoJson (C++),fail15,false
1. Parse Validation,ArduinoJson (C++),fail16,true
1. Parse Validation,ArduinoJson (C++),fail17,false
1. Parse Validation,ArduinoJson (C++),fail19,true
1. Parse Validation,ArduinoJson (C++),fail20,true
1. Parse Validation,ArduinoJson (C++),fail21,true
1. Parse Validation,ArduinoJson (C++),fail22,true
1. Parse Validation,ArduinoJson (C++),fail23,false
1. Parse Validation,ArduinoJson (C++),fail24,false
1. Parse Validation,ArduinoJson (C++),fail25,false
1. Parse Validation,ArduinoJson (C++),fail26,false
1. Parse Validation,ArduinoJson (C++),fail27,false
1. Parse Validation,ArduinoJson (C++),fail28,false
1. Parse Validation,ArduinoJson (C++),fail29,false
1. Parse Validation,ArduinoJson (C++),fail30,true
1. Parse Validation,ArduinoJson (C++),fail31,true
1. Parse Validation,ArduinoJson (C++),fail32,true
1. Parse Validation,ArduinoJson (C++),fail33,true
2. Parse Double,ArduinoJson (C++),double01,true
2. Parse Double,ArduinoJson (C++),double02,true
2. Parse Double,ArduinoJson (C++),double03,true
2. Parse Double,ArduinoJson (C++),double04,true
2. Parse Double,ArduinoJson (C++),double05,true
2. Parse Double,ArduinoJson (C++),double06,true
2. Parse Double,ArduinoJson (C++),double07,true
2. Parse Double,ArduinoJson (C++),double08,true
2. Parse Double,ArduinoJson (C++),double09,true
2. Parse Double,ArduinoJson (C++),double10,false
2. Parse Double,ArduinoJson (C++),double11,true
2. Parse Double,ArduinoJson (C++),double12,true
2. Parse Double,ArduinoJson (C++),double13,true
2. Parse Double,ArduinoJson (C++),double14,false
2. Parse Double,ArduinoJson (C++),double15,true
2. Parse Double,ArduinoJson (C++),double16,false
2. Parse Double,ArduinoJson (C++),double17,true
2. Parse Double,ArduinoJson (C++),double18,false
2. Parse Double,ArduinoJson (C++),double19,true
2. Parse Double,ArduinoJson (C++),double20,false
2. Parse Double,ArduinoJson (C++),double21,true
2. Parse Double,ArduinoJson (C++),double22,true
2. Parse Double,ArduinoJson (C++),double23,true
2. Parse Double,ArduinoJson (C++),double24,true
2. Parse Double,ArduinoJson (C++),double25,false
2. Parse Double,ArduinoJson (C++),double26,true
2. Parse Double,ArduinoJson (C++),double27,true
2. Parse Double,ArduinoJson (C++),double28,true
2. Parse Double,ArduinoJson (C++),double29,true
2. Parse Double,ArduinoJson (C++),double30,true
2. Parse Double,ArduinoJson (C++),double31,true
2. Parse Double,ArduinoJson (C++),double32,true
2. Parse Double,ArduinoJson (C++),double33,true
2. Parse Double,ArduinoJson (C++),double34,true
2. Parse Double,ArduinoJson (C++),double35,false
2. Parse Double,ArduinoJson (C++),double36,true
2. Parse Double,ArduinoJson (C++),double37,true
2. Parse Double,ArduinoJson (C++),double38,true
2. Parse Double,ArduinoJson (C++),double39,true
2. Parse Double,ArduinoJson (C++),double40,true
2. Parse Double,ArduinoJson (C++),double41,true
2. Parse Double,ArduinoJson (C++),double42,true
2. Parse Double,ArduinoJson (C++),double43,true
