Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
1. Parse,ArduinoJson (C++),canada.json,695.314000,7032896,7032896,19,0
1. Parse,ArduinoJson (C++),citm_catalog.json,7.418000,3641408,3641408,17,0
1. Parse,ArduinoJson (C++),twitter.json,3.973000,1540160,1540160,16,0
2. Stringify,ArduinoJson (C++),canada.json,206.021000,2252816,6447120,20,0
2. Stringify,ArduinoJson (C++),citm_catalog.json,22.405000,499728,1024016,17,0
2. Stringify,ArduinoJson (C++),twitter.json,19.574000,499728,1024016,17,0
3. Prettify,ArduinoJson (C++),canada.json,377.361000,5599248,13987856,21,0
3. Prettify,ArduinoJson (C++),citm_catalog.json,54.987000,2101264,4198416,19,0
3. Prettify,ArduinoJson (C++),twitter.json,31.106000,647184,1695760,18,0
4. Statistics,ArduinoJson (C++),canada.json,0.775000,0,0,0,0
4. Statistics,ArduinoJson (C++),citm_catalog.json,0.520000,0,0,0,0
4. Statistics,ArduinoJson (C++),twitter.json,0.375000,0,0,0,0
7. Code size,ArduinoJson (C++),jsonstat,0,0,0,0,40944
1. Parse,CAJUN (C++),canada.json,1980.723000,234160112,495050688,3837856,0
1. Parse,CAJUN (C++),citm_catalog.json,282.983000,8918208,29031504,641280,0
1. Parse,CAJUN (C++),twitter.json,102.622000,2309616,8642048,249868,0
2. Stringify,CAJUN (C++),canada.json,226.173000,4272144,12660752,22,0
2. Stringify,CAJUN (C++),citm_catalog.json,30.041000,892944,1941520,3784,0
2. Stringify,CAJUN (C++),twitter.json,31.564000,892944,1941520,7244,0
4. Statistics,CAJUN (C++),canada.json,5.998000,0,0,0,0
4. Statistics,CAJUN (C++),citm_catalog.json,0.694000,0,0,0,0
4. Statistics,CAJUN (C++),twitter.json,0.262000,0,0,0,0
7. Code size,CAJUN (C++),jsonstat,0,0,0,0,85352
1. Parse,C++ REST SDK (C++11),canada.json,219.190000,3894176,3894208,392464,0
1. Parse,C++ REST SDK (C++11),citm_catalog.json,29.011000,1466064,1466080,73089,0
1. Parse,C++ REST SDK (C++11),twitter.json,13.603000,1135936,1136064,31411,0
2. Stringify,C++ REST SDK (C++11),canada.json,135.226000,2252816,10489872,38,0
2. Stringify,C++ REST SDK (C++11),citm_catalog.json,7.986000,892944,1806352,743,0
2. Stringify,C++ REST SDK (C++11),twitter.json,6.455000,647184,1806352,2620,0
4. Statistics,C++ REST SDK (C++11),canada.json,3.016000,0,32,1,0
4. Statistics,C++ REST SDK (C++11),citm_catalog.json,0.754000,0,64,719,0
4. Statistics,C++ REST SDK (C++11),twitter.json,1.016000,0,464,2594,0
7. Code size,C++ REST SDK (C++11),jsonstat,0,0,0,0,142828
1. Parse,cJSON (C),canada.json,29.384000,8024816,8024816,167192,0
1. Parse,cJSON (C),citm_catalog.json,10.458000,2265312,2265312,64383,0
1. Parse,cJSON (C),twitter.json,6.456000,1193440,1193440,32014,0
2. Stringify,cJSON (C),canada.json,97.122000,2101264,4354384,223241,0
2. Stringify,cJSON (C),citm_catalog.json,27.449000,892944,1589568,87274,0
2. Stringify,cJSON (C),twitter.json,12.707000,892944,1540512,30092,0
3. Prettify,cJSON (C),canada.json,92.982000,2101264,4354400,223241,0
3. Prettify,cJSON (C),citm_catalog.json,29.919000,790544,1742720,87274,0
3. Prettify,cJSON (C),twitter.json,12.924000,790544,1438160,30092,0
4. Statistics,cJSON (C),canada.json,0.971000,0,0,0,0
4. Statistics,cJSON (C),citm_catalog.json,0.410000,0,0,0,0
4. Statistics,cJSON (C),twitter.json,0.311000,0,0,0,0
7. Code size,cJSON (C),jsonstat,0,0,0,0,26684
1. Parse,dropbox/json11 (C++11),canada.json,132.447000,6707056,9025232,337437,0
1. Parse,dropbox/json11 (C++11),citm_catalog.json,28.529000,2620240,4722208,105189,0
1. Parse,dropbox/json11 (C++11),twitter.json,19.569000,1388512,2036224,56661,0
2. Stringify,dropbox/json11 (C++11),canada.json,138.491000,4194320,6295568,19,0
2. Stringify,dropbox/json11 (C++11),citm_catalog.json,8.592000,1048592,1695760,17,0
2. Stringify,dropbox/json11 (C++11),twitter.json,6.256000,647184,913424,16,0
4. Statistics,dropbox/json11 (C++11),canada.json,1.513000,0,0,0,0
4. Statistics,dropbox/json11 (C++11),citm_catalog.json,0.637000,0,0,0,0
4. Statistics,dropbox/json11 (C++11),twitter.json,0.354000,0,0,0,0
7. Code size,dropbox/json11 (C++11),jsonstat,0,0,0,0,75248
1. Parse,mikeando/FastJson (C++),canada.json,24.730000,5448096,7701248,22,0
1. Parse,mikeando/FastJson (C++),citm_catalog.json,9.658000,1962112,4063712,22,0
1. Parse,mikeando/FastJson (C++),twitter.json,4.294000,1183360,1831168,24,0
2. Stringify,mikeando/FastJson (C++),canada.json,131.654000,2252816,2252816,2,0
2. Stringify,mikeando/FastJson (C++),citm_catalog.json,9.562000,647184,647184,2,0
2. Stringify,mikeando/FastJson (C++),twitter.json,3.350000,647184,647184,2,0
4. Statistics,mikeando/FastJson (C++),canada.json,0.884000,0,0,0,0
4. Statistics,mikeando/FastJson (C++),citm_catalog.json,0.362000,0,0,0,0
4. Statistics,mikeando/FastJson (C++),twitter.json,0.215000,0,0,0,0
7. Code size,mikeando/FastJson (C++),jsonstat,0,0,0,0,58292
1. Parse,gason (C++11),canada.json,10.288000,4939808,4939808,658,0
1. Parse,gason (C++11),citm_catalog.json,3.979000,2711584,2711584,151,0
1. Parse,gason (C++11),twitter.json,1.934000,872480,872480,57,0
2. Stringify,gason (C++11),canada.json,59.035000,1298448,3399696,19,0
2. Stringify,gason (C++11),citm_catalog.json,17.490000,647184,1695760,18,0
2. Stringify,gason (C++11),twitter.json,10.364000,483344,1273872,17,0
3. Prettify,gason (C++11),canada.json,136.268000,7319568,15708176,223242,0
3. Prettify,gason (C++11),citm_catalog.json,32.229000,1802256,4055056,49498,0
3. Prettify,gason (C++11),twitter.json,14.565000,770064,1818640,15285,0
4. Statistics,gason (C++11),canada.json,1.039000,0,0,0,0
4. Statistics,gason (C++11),citm_catalog.json,0.489000,0,0,0,0
4. Statistics,gason (C++11),twitter.json,0.338000,0,0,0,0
7. Code size,gason (C++11),jsonstat,0,0,0,0,20272
1. Parse,Jansson (C),canada.json,169.725000,5680288,5680336,224392,0
1. Parse,Jansson (C),citm_catalog.json,48.444000,3077136,3077216,111230,0
1. Parse,Jansson (C),twitter.json,23.297000,1219648,1220192,43822,0
2. Stringify,Jansson (C),canada.json,139.671000,2363408,6557712,21,0
2. Stringify,Jansson (C),citm_catalog.json,9.520000,647184,1695760,19,0
2. Stringify,Jansson (C),twitter.json,5.649000,647184,1171472,18,0
3. Prettify,Jansson (C),canada.json,179.568000,8273936,16924688,22,0
3. Prettify,Jansson (C),citm_catalog.json,15.500000,2252816,4354064,20,0
3. Prettify,Jansson (C),twitter.json,6.940000,770064,1818640,19,0
4. Statistics,Jansson (C),canada.json,1.675000,0,0,0,0
4. Statistics,Jansson (C),citm_catalog.json,1.446000,0,0,0,0
4. Statistics,Jansson (C),twitter.json,0.529000,0,0,0,0
7. Code size,Jansson (C),jsonstat,0,0,0,0,60232
1. Parse,JeayeSON (C++14),canada.json,240.437000,4406688,15112352,499017,0
1. Parse,JeayeSON (C++14),citm_catalog.json,85.775000,2047792,8396112,253298,0
1. Parse,JeayeSON (C++14),twitter.json,44.962000,1262112,4433440,129268,0
2. Stringify,JeayeSON (C++14),canada.json,68.099000,1044496,2093072,20,0
2. Stringify,JeayeSON (C++14),citm_catalog.json,14.973000,647184,1171472,4502,0
2. Stringify,JeayeSON (C++14),twitter.json,11.054000,647184,1171472,10409,0
4. Statistics,JeayeSON (C++14),canada.json,1.189000,0,0,0,0
4. Statistics,JeayeSON (C++14),citm_catalog.json,0.454000,0,0,0,0
4. Statistics,JeayeSON (C++14),twitter.json,0.300000,0,0,0,0
7. Code size,JeayeSON (C++14),jsonstat,0,0,0,0,75764
1. Parse,JsonBox (C++),canada.json,592.513000,4334304,9059312,974652,0
1. Parse,JsonBox (C++),citm_catalog.json,130.706000,2032976,6538624,261150,0
1. Parse,JsonBox (C++),twitter.json,62.815000,1231040,2895808,102061,0
2. Stringify,JsonBox (C++),canada.json,401.399000,2252816,6447136,24,0
2. Stringify,JsonBox (C++),citm_catalog.json,77.680000,499728,1134608,9264,0
2. Stringify,JsonBox (C++),twitter.json,56.555000,499728,1134608,22632,0
3. Prettify,JsonBox (C++),canada.json,304.789000,3923984,8118288,24,0
3. Prettify,JsonBox (C++),citm_catalog.json,56.228000,1728528,2777104,9265,0
3. Prettify,JsonBox (C++),twitter.json,42.175000,634896,1683472,22633,0
4. Statistics,JsonBox (C++),canada.json,0.926000,0,0,0,0
4. Statistics,JsonBox (C++),citm_catalog.json,0.350000,0,0,0,0
4. Statistics,JsonBox (C++),twitter.json,0.226000,0,0,0,0
7. Code size,JsonBox (C++),jsonstat,0,0,0,0,136068
1. Parse,jsoncons (C++),canada.json,1208.958000,3378688,23526960,3835292,0
1. Parse,jsoncons (C++),citm_catalog.json,948.891000,1231088,7518784,3574418,0
1. Parse,jsoncons (C++),twitter.json,230.708000,918816,4057952,741190,0
2. Stringify,jsoncons (C++),canada.json,287.330000,3923984,6176880,222183,0
2. Stringify,jsoncons (C++),citm_catalog.json,18.141000,503824,1138800,21,0
2. Stringify,jsoncons (C++),twitter.json,17.358000,503824,1138896,24,0
3. Prettify,jsoncons (C++),canada.json,273.724000,3923984,6176880,222183,0
3. Prettify,jsoncons (C++),citm_catalog.json,18.211000,503824,1028208,21,0
3. Prettify,jsoncons (C++),twitter.json,17.421000,503824,1028304,24,0
4. Statistics,jsoncons (C++),canada.json,1.862000,0,32,1,0
4. Statistics,jsoncons (C++),citm_catalog.json,1.839000,0,64,719,0
4. Statistics,jsoncons (C++),twitter.json,1.111000,0,464,2594,0
7. Code size,jsoncons (C++),jsonstat,0,0,0,0,88548
1. Parse,JsonCpp (C++),canada.json,187.953000,8921568,13431296,223254,0
1. Parse,JsonCpp (C++),citm_catalog.json,28.245000,2611984,7121728,115700,0
1. Parse,JsonCpp (C++),twitter.json,16.697000,1245120,2519024,54411,0
2. Stringify,JsonCpp (C++),canada.json,176.923000,2252816,6447280,110290,0
2. Stringify,JsonCpp (C++),citm_catalog.json,15.699000,634896,1269776,19990,0
2. Stringify,JsonCpp (C++),twitter.json,12.628000,634896,1269776,20794,0
4. Statistics,JsonCpp (C++),canada.json,2.921000,0,32,1,0
4. Statistics,JsonCpp (C++),citm_catalog.json,0.857000,0,64,719,0
4. Statistics,JsonCpp (C++),twitter.json,1.000000,0,464,2594,0
7. Code size,JsonCpp (C++),jsonstat,0,0,0,0,242528
1. Parse,json-c (C),canada.json,210.483000,19890720,19891856,390651,0
1. Parse,json-c (C),citm_catalog.json,37.998000,7220608,7221776,131793,0
1. Parse,json-c (C),twitter.json,15.784000,1923120,1924736,49446,0
2. Stringify,json-c (C),canada.json,33.363000,6447136,6447136,21,0
2. Stringify,json-c (C),citm_catalog.json,19.487000,1269792,1269792,18,0
2. Stringify,json-c (C),twitter.json,9.349000,1269792,1269792,18,0
3. Prettify,json-c (C),canada.json,68.255000,13762592,13762592,22,0
