Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
1. Parse,ArduinoJson (C++),canada.json,563.430000,11349376,11349376,17,0
1. Parse,ArduinoJson (C++),citm_catalog.json,2.577000,4898176,4898176,15,0
1. Parse,ArduinoJson (C++),twitter.json,1.869000,1744256,1744256,13,0
2. Stringify,ArduinoJson (C++),canada.json,39.622000,2252832,5398560,19,0
2. Stringify,ArduinoJson (C++),citm_catalog.json,9.571000,524320,1568800,17,0
2. Stringify,ArduinoJson (C++),twitter.json,8.669000,524320,1568800,17,0
3. Prettify,ArduinoJson (C++),canada.json,119.130000,5599264,14606368,20,0
3. Prettify,ArduinoJson (C++),citm_catalog.json,25.427000,2252832,3825696,18,0
3. Prettify,ArduinoJson (C++),twitter.json,14.327000,1052704,2097184,17,0
4. Statistics,ArduinoJson (C++),canada.json,41.775000,0,0,0,0
4. Statistics,ArduinoJson (C++),citm_catalog.json,0.830000,0,0,0,0
4. Statistics,ArduinoJson (C++),twitter.json,0.473000,0,0,0,0
7. Code size,ArduinoJson (C++),jsonstat,0,0,0,0,26636
1. Parse,CAJUN (C++),canada.json,941.969000,236113920,503840592,3396966,0
1. Parse,CAJUN (C++),citm_catalog.json,145.532000,9770176,34805584,612137,0
1. Parse,CAJUN (C++),twitter.json,45.904000,2515152,10526544,204803,0
2. Stringify,CAJUN (C++),canada.json,109.479000,5599264,14606368,20,0
2. Stringify,CAJUN (C++),citm_catalog.json,14.682000,921632,2494496,19,0
2. Stringify,CAJUN (C++),twitter.json,13.385000,1044512,1966112,1920,0
4. Statistics,CAJUN (C++),canada.json,2.949000,0,0,0,0
4. Statistics,CAJUN (C++),citm_catalog.json,0.273000,0,0,0,0
4. Statistics,CAJUN (C++),twitter.json,0.067000,0,0,0,0
7. Code size,CAJUN (C++),jsonstat,0,0,0,0,86148
1. Parse,ccan/json (C),canada.json,48.533000,10699872,10699872,167193,0
1. Parse,ccan/json (C),citm_catalog.json,6.789000,3337056,3337056,68345,0
1. Parse,ccan/json (C),twitter.json,4.527000,1800400,1800400,43523,0
2. Stringify,ccan/json (C),canada.json,60.136000,2101264,2101264,19,0
2. Stringify,ccan/json (C),citm_catalog.json,4.568000,1044496,1044496,17,0
2. Stringify,ccan/json (C),twitter.json,1.793000,528400,528400,17,0
3. Prettify,ccan/json (C),canada.json,77.032000,9007120,9007120,21,0
3. Prettify,ccan/json (C),citm_catalog.json,7.865000,2101264,2101264,19,0
3. Prettify,ccan/json (C),twitter.json,2.630000,1052688,1052688,18,0
4. Statistics,ccan/json (C),canada.json,0.533000,0,0,0,0
4. Statistics,ccan/json (C),citm_catalog.json,0.202000,0,0,0,0
4. Statistics,ccan/json (C),twitter.json,0.111000,0,0,0,0
7. Code size,ccan/json (C),jsonstat,0,0,0,0,30400
1. Parse,cJSON (C),canada.json,15.574000,10699680,10699680,167192,0
1. Parse,cJSON (C),citm_catalog.json,5.580000,2869760,2869760,64383,0
1. Parse,cJSON (C),twitter.json,3.517000,1416064,1416064,32014,0
2. Stringify,cJSON (C),canada.json,49.510000,2101264,4202864,223241,0
2. Stringify,cJSON (C),citm_catalog.json,15.016000,503824,1080880,87274,0
2. Stringify,cJSON (C),twitter.json,6.757000,528400,1032608,30092,0
3. Prettify,cJSON (C),canada.json,49.254000,2101264,4202880,223241,0
3. Prettify,cJSON (C),citm_catalog.json,15.105000,1052688,2163968,87274,0
3. Prettify,cJSON (C),twitter.json,7.059000,1052688,2105808,30092,0
4. Statistics,cJSON (C),canada.json,0.488000,0,0,0,0
4. Statistics,cJSON (C),citm_catalog.json,0.162000,0,0,0,0
4. Statistics,cJSON (C),twitter.json,0.106000,0,0,0,0
7. Code size,cJSON (C),jsonstat,0,0,0,0,27040
1. Parse,Configuru (C++11),canada.json,57.733000,13022272,13081456,170253,0
1. Parse,Configuru (C++11),citm_catalog.json,16.881000,4899360,4899456,54236,0
1. Parse,Configuru (C++11),twitter.json,5.993000,2119216,2119312,20388,0
2. Stringify,Configuru (C++11),canada.json,148.446000,3145760,5247072,22,0
2. Stringify,Configuru (C++11),citm_catalog.json,4.734000,1052704,1556720,10951,0
2. Stringify,Configuru (C++11),twitter.json,1.686000,1052704,1557232,1280,0
3. Prettify,Configuru (C++11),canada.json,161.278000,3145760,5247072,22,0
3. Prettify,Configuru (C++11),citm_catalog.json,8.553000,2101280,3154160,10952,0
3. Prettify,Configuru (C++11),twitter.json,3.222000,1052704,1557232,1280,0
4. Statistics,Configuru (C++11),canada.json,0.698000,0,0,0,0
4. Statistics,Configuru (C++11),citm_catalog.json,0.548000,0,0,0,0
4. Statistics,Configuru (C++11),twitter.json,0.155000,0,0,0,0
7. Code size,Configuru (C++11),jsonstat,0,0,0,0,131668
1. Parse,C++ REST SDK (C++11),canada.json,113.358000,7054688,7054736,392462,0
1. Parse,C++ REST SDK (C++11),citm_catalog.json,14.310000,2433664,2433680,68658,0
1. Parse,C++ REST SDK (C++11),twitter.json,6.434000,1448256,1448496,24481,0
2. Stringify,C++ REST SDK (C++11),canada.json,70.617000,4194336,9441312,36,0
2. Stringify,C++ REST SDK (C++11),citm_catalog.json,4.310000,503840,2609184,348,0
2. Stringify,C++ REST SDK (C++11),twitter.json,3.129000,503840,2609184,1927,0
4. Statistics,C++ REST SDK (C++11),canada.json,0.912000,0,0,0,0
4. Statistics,C++ REST SDK (C++11),citm_catalog.json,0.453000,0,0,0,0
4. Statistics,C++ REST SDK (C++11),twitter.json,0.136000,0,0,0,0
7. Code size,C++ REST SDK (C++11),jsonstat,0,0,0,0,18300
1. Parse,dropbox/json11 (C++11),canada.json,69.836000,11680208,15043200,337434,0
1. Parse,dropbox/json11 (C++11),citm_catalog.json,14.516000,4382848,6485024,96993,0
1. Parse,dropbox/json11 (C++11),twitter.json,9.172000,1959712,3013040,44408,0
2. Stringify,dropbox/json11 (C++11),canada.json,65.608000,3145760,5247008,18,0
2. Stringify,dropbox/json11 (C++11),citm_catalog.json,4.310000,1052704,1556512,16,0
2. Stringify,dropbox/json11 (C++11),twitter.json,3.140000,1052704,1556512,16,0
4. Statistics,dropbox/json11 (C++11),canada.json,0.933000,0,0,0,0
4. Statistics,dropbox/json11 (C++11),citm_catalog.json,0.373000,0,0,0,0
4. Statistics,dropbox/json11 (C++11),twitter.json,0.130000,0,0,0,0
7. Code size,dropbox/json11 (C++11),jsonstat,0,0,0,0,80136
1. Parse,mikeando/FastJson (C++),canada.json,11.927000,8790784,11937056,22,0
1. Parse,mikeando/FastJson (C++),citm_catalog.json,4.589000,3133632,5235424,22,0
1. Parse,mikeando/FastJson (C++),twitter.json,2.468000,1579712,2633504,24,0
2. Stringify,mikeando/FastJson (C++),canada.json,60.182000,3145760,3145760,2,0
2. Stringify,mikeando/FastJson (C++),citm_catalog.json,4.827000,503840,503840,2,0
2. Stringify,mikeando/FastJson (C++),twitter.json,1.725000,1052704,1052704,2,0
4. Statistics,mikeando/FastJson (C++),canada.json,0.667000,0,0,0,0
4. Statistics,mikeando/FastJson (C++),citm_catalog.json,0.136000,0,0,0,0
4. Statistics,mikeando/FastJson (C++),twitter.json,0.068000,0,0,0,0
7. Code size,mikeando/FastJson (C++),jsonstat,0,0,0,0,62768
1. Parse,gason (C++11),canada.json,5.297000,5832736,5832736,658,0
1. Parse,gason (C++11),citm_catalog.json,2.105000,2920480,2920480,202,0
1. Parse,gason (C++11),twitter.json,1.013000,1384480,1384480,83,0
2. Stringify,gason (C++11),canada.json,30.812000,2101280,4202528,18,0
2. Stringify,gason (C++11),citm_catalog.json,9.235000,1052704,2105376,17,0
2. Stringify,gason (C++11),twitter.json,5.244000,503840,1556512,17,0
3. Prettify,gason (C++11),canada.json,70.420000,7319584,19902496,222273,0
3. Prettify,gason (C++11),citm_catalog.json,15.125000,2101280,5247008,34759,0
3. Prettify,gason (C++11),twitter.json,6.351000,770080,1822752,1920,0
4. Statistics,gason (C++11),canada.json,0.405000,0,0,0,0
4. Statistics,gason (C++11),citm_catalog.json,0.217000,0,0,0,0
4. Statistics,gason (C++11),twitter.json,0.144000,0,0,0,0
7. Code size,gason (C++11),jsonstat,0,0,0,0,20412
1. Parse,Jansson (C),canada.json,78.465000,10619344,10619392,224392,0
1. Parse,Jansson (C),citm_catalog.json,22.656000,5699968,5700048,111230,0
1. Parse,Jansson (C),twitter.json,10.935000,2000288,2000848,43822,0
2. Stringify,Jansson (C),canada.json,64.221000,3145744,7340048,21,0
2. Stringify,Jansson (C),citm_catalog.json,3.764000,770064,1822736,19,0
2. Stringify,Jansson (C),twitter.json,1.925000,503824,1032208,18,0
3. Prettify,Jansson (C),canada.json,73.837000,8273936,20856848,22,0
3. Prettify,Jansson (C),citm_catalog.json,4.373000,2101264,4202512,20,0
3. Prettify,Jansson (C),twitter.json,2.170000,770064,1822736,19,0
4. Statistics,Jansson (C),canada.json,0.811000,0,0,0,0
4. Statistics,Jansson (C),citm_catalog.json,0.594000,0,0,0,0
4. Statistics,Jansson (C),twitter.json,0.212000,0,0,0,0
