Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
1. Parse,ArduinoJson (C++),canada.json,821.357000,10639896,10639896,20,0
1. Parse,ArduinoJson (C++),citm_catalog.json,9.787000,3875032,3875032,18,0
1. Parse,ArduinoJson (C++),twitter.json,4.815000,1171464,1171464,16,0
2. Stringify,ArduinoJson (C++),canada.json,2002.529000,2252808,6512624,15,0
2. Stringify,ArduinoJson (C++),citm_catalog.json,22.537000,499720,1023996,12,0
2. Stringify,ArduinoJson (C++),twitter.json,16.948000,466952,991228,12,0
3. Prettify,ArduinoJson (C++),canada.json,2160.991000,5636092,14090212,16,0
3. Prettify,ArduinoJson (C++),citm_catalog.json,53.054000,1204232,3301372,14,0
3. Prettify,ArduinoJson (C++),twitter.json,28.466000,647176,1695740,13,0
4. Statistics,ArduinoJson (C++),canada.json,0.653000,0,0,0,0
4. Statistics,ArduinoJson (C++),citm_catalog.json,0.624000,0,0,0,0
4. Statistics,ArduinoJson (C++),twitter.json,0.797000,0,0,0,0
7. Code size, ArduinoJson (C++), jsonstat,0,0,0,0,25088
1. Parse,CAJUN (C++),canada.json,4338.295000,35796184,130080692,4898827,0
1. Parse,CAJUN (C++),citm_catalog.json,814.270000,7990620,27489740,1114316,0
1. Parse,CAJUN (C++),twitter.json,221.717000,1928120,6522904,361362,0
2. Stringify,CAJUN (C++),canada.json,2599.210000,4272136,12660732,334368,0
2. Stringify,CAJUN (C++),citm_catalog.json,321.334000,892928,1941492,64872,0
2. Stringify,CAJUN (C++),twitter.json,59.057000,675840,1724404,17602,0
4. Statistics,CAJUN (C++),canada.json,4.472000,0,0,0,0
4. Statistics,CAJUN (C++),citm_catalog.json,0.991000,0,0,0,0
4. Statistics,CAJUN (C++),twitter.json,0.250000,0,0,0,0
7. Code size, CAJUN (C++), jsonstat,0,0,0,0,68096
1. Parse,cJSON (C),canada.json,72.956000,7356080,7356080,167192,0
1. Parse,cJSON (C),citm_catalog.json,19.286000,2025860,2025860,64383,0
1. Parse,cJSON (C),twitter.json,9.841000,1074072,1074072,32014,0
