Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
1. Parse,ArduinoJson (C++),canada.json,904.823333,10640116,10640116,20,0
1. Parse,ArduinoJson (C++),citm_catalog.json,12.108044,3875224,3875224,18,0
1. Parse,ArduinoJson (C++),twitter.json,4.251972,1171635,1171635,16,0
2. Stringify,ArduinoJson (C++),canada.json,205.644035,2251080,4672455,30,0
2. Stringify,ArduinoJson (C++),citm_catalog.json,27.169634,499624,1217069,27,0
2. Stringify,ArduinoJson (C++),twitter.json,22.235308,465384,943681,26,0
3. Prettify,ArduinoJson (C++),canada.json,385.748269,5596488,13768627,33,0
3. Prettify,ArduinoJson (C++),citm_catalog.json,32.656050,513272,1230717,27,0
3. Prettify,ArduinoJson (C++),twitter.json,32.390924,597176,1314621,27,0
4. Statistics,ArduinoJson (C++),canada.json,0.757064,0,0,0,0
4. Statistics,ArduinoJson (C++),citm_catalog.json,0.580441,0,0,0,0
4. Statistics,ArduinoJson (C++),twitter.json,0.707640,0,0,0,0
7. Code size, ArduinoJson (C++), jsonstat,0,0,0,0,20480
1. Parse,C++ REST SDK (C++11),canada.json,202.282839,5907688,5907768,393966,0
1. Parse,C++ REST SDK (C++11),citm_catalog.json,35.682007,2796192,2796368,86685,0
1. Parse,C++ REST SDK (C++11),twitter.json,21.385144,1697176,1697287,42580,0
2. Stringify,C++ REST SDK (C++11),canada.json,129.091297,2251080,6417783,58,0
2. Stringify,C++ REST SDK (C++11),citm_catalog.json,11.088919,500344,1824929,1398,0
2. Stringify,C++ REST SDK (C++11),twitter.json,8.822708,466888,1445965,6446,0
4. Statistics,C++ REST SDK (C++11),canada.json,2.711791,0,48,1,0
4. Statistics,C++ REST SDK (C++11),citm_catalog.json,0.776221,0,112,722,0
4. Statistics,C++ REST SDK (C++11),twitter.json,0.866639,0,368,2771,0
7. Code size, C++ REST SDK (C++11), jsonstat,0,0,0,0,127488
1. Parse,cJSON (C),canada.json,26.693404,10699574,10699574,167192,0
1. Parse,cJSON (C),citm_catalog.json,7.999362,2665791,2665791,64383,0
1. Parse,cJSON (C),twitter.json,4.268830,1276528,1276528,32014,0
2. Stringify,cJSON (C),canada.json,151.469130,1294697,2650673,223241,0
2. Stringify,cJSON (C),citm_catalog.json,24.821816,500321,1001081,87274,0
